Scenario_ID,Packet_ID,RSSI,Metric,Success
Meme_piece,1,-56.22224737653426,175,1
Meme_piece,2,-56.00884108248273,175,1
Meme_piece,3,-54.7002499142413,181,1
Meme_piece,4,-51.14306550754931,195,1
Meme_piece,5,-56.744399076812776,173,1
Meme_piece,6,-57.76854880124443,168,1
Meme_piece,7,-59.20621141235567,163,1
Meme_piece,8,-62.29323744424127,150,1
Meme_piece,9,-60.791934321123804,156,1
Meme_piece,10,-59.81884762107972,160,1
Meme_piece,11,-56.13043195645657,175,1
Meme_piece,12,-54.98658863316043,180,1
Meme_piece,13,-58.19588359936269,167,1
Meme_piece,14,-58.55846591544026,165,1
Meme_piece,15,-50.77860748313823,196,1
Meme_piece,16,-58.0022285669241,167,1
Meme_piece,17,-52.034025935406504,191,1
Meme_piece,18,-55.481161016698316,178,1
Meme_piece,19,-54.81783925637472,180,1
Meme_piece,20,-62.29844282392553,150,1
Meme_piece,21,-67.84116153346531,128,1
Meme_piece,22,-53.33876369411241,186,1
Meme_piece,23,-55.438200633577075,178,1
Meme_piece,24,-56.22542578546745,175,1
Meme_piece,25,-58.49076794352917,166,1
Meme_piece,26,-57.98904008082202,168,1
Meme_piece,27,-61.896718639037246,152,1
Meme_piece,28,-57.743075511543026,169,1
Meme_piece,29,-58.78960218493282,164,1
Meme_piece,30,-55.43894003286235,178,1
Piece_adjacente,1,-75.12619478945918,99,1
Piece_adjacente,2,-73.70941416442946,105,1
Piece_adjacente,3,-72.57786126972418,109,1
Piece_adjacente,4,-74.55002779978389,101,1
Piece_adjacente,5,-74.36344065128853,102,1
Piece_adjacente,6,-71.50856388079087,113,1
Piece_adjacente,7,-70.27002891603938,118,1
Piece_adjacente,8,-70.42094728667774,118,1
Piece_adjacente,9,-77.7023917330867,89,1
Piece_adjacente,10,-69.48423782184561,122,1
Piece_adjacente,11,-67.9923429212843,128,1
Piece_adjacente,12,-73.33812546242005,106,1
Piece_adjacente,13,-69.54434650144587,121,1
Piece_adjacente,14,-74.70734554373217,101,1
Piece_adjacente,15,-70.1093487135391,119,1
Piece_adjacente,16,-69.5656099194545,121,1
Piece_adjacente,17,-74.44016010683318,102,1
Piece_adjacente,18,-66.89131226634353,132,1
Piece_adjacente,19,-74.23767068700114,103,1
Piece_adjacente,20,-66.20405229818488,135,1
Piece_adjacente,21,-72.94885173308275,108,1
Piece_adjacente,22,-75.76962365090388,96,1
Piece_adjacente,23,-72.75856963863585,108,1
Piece_adjacente,24,-68.18105297171061,127,1
Piece_adjacente,25,-66.54317711946081,133,1
Piece_adjacente,26,-68.29070610330625,126,1
Piece_adjacente,27,-71.83571881559867,112,1
Piece_adjacente,28,-70.76409962205685,116,1
Piece_adjacente,29,-69.95899886693971,120,1
Piece_adjacente,30,-76.16898276807935,95,1
2_pieces,1,-81.96573429313374,72,1
2_pieces,2,-83.76945640884324,64,1
2_pieces,3,-81.99598253726701,72,1
2_pieces,4,-85.02927713284063,59,1
2_pieces,5,-82.19048879028455,71,1
2_pieces,6,-87.47734484856419,50,1
2_pieces,7,-77.70836996135132,89,1
2_pieces,8,-90.87259513442501,36,1
2_pieces,9,-79.51131734365119,81,1
2_pieces,10,-79.90566672549465,80,1
2_pieces,11,-87.24482500322465,51,1
2_pieces,12,-77.36318656668189,90,1
2_pieces,13,-82.25794580477191,70,1
2_pieces,14,-84.86333658893342,60,1
2_pieces,15,-81.06278720491117,75,1
2_pieces,16,-85.10105560783255,59,1
2_pieces,17,-81.83575087120481,72,1
2_pieces,18,-82.8871350165834,68,1
2_pieces,19,-83.84153667462337,64,1
2_pieces,20,-84.45522753037469,62,1
2_pieces,21,-82.18600221074954,71,1
2_pieces,22,-82.59807339300879,69,1
2_pieces,23,-89.08062931760008,43,1
2_pieces,24,-82.55205610401175,69,1
2_pieces,25,-82.57526288912813,69,1
2_pieces,26,-78.21737746089059,87,1
2_pieces,27,-84.03393296945828,63,1
2_pieces,28,-83.67324094790088,65,1
2_pieces,29,-80.22641894515941,79,1
2_pieces,30,-82.8731347149976,68,1
Etage_different,1,-90.81251702029326,36,1
Etage_different,2,-91.89843510480452,32,1
Etage_different,3,-93.6244484231396,25,1
Etage_different,4,-87.5923051874964,49,1
Etage_different,5,-92.15172981230263,31,1
Etage_different,6,-87.06661733260248,51,1
Etage_different,7,-92.92549228514162,28,1
Etage_different,8,-88.2641506798115,46,1
Etage_different,9,-91.99795992686812,32,1
Etage_different,10,-90.14298785282,39,1
Etage_different,11,-86.33054601522097,54,1
Etage_different,12,-97.03587221339663,11,1
Etage_different,13,-91.94733014715511,32,1
Etage_different,14,-89.12289002094676,43,1
Etage_different,15,-87.68444625110064,49,1
Etage_different,16,-85.96706313941705,56,1
Etage_different,17,-94.9711863133579,20,1
Etage_different,18,-84.56002274022912,61,1
Etage_different,19,-90.61554431999042,37,1
Etage_different,20,-86.31760888974686,54,1
Etage_different,21,-85.17136425328087,59,1
Etage_different,22,-94.01828399112347,23,1
Etage_different,23,-84.31550313827884,62,1
Etage_different,24,-87.28146237454501,50,1
Etage_different,25,-87.82819545748316,48,1
Etage_different,26,-89.13679394984767,43,1
Etage_different,27,-89.61239770450844,41,1
Etage_different,28,-86.35796023639165,54,1
Etage_different,29,-95.84318999935459,16,1
Etage_different,30,-90.90516701228006,36,1
